DisputeStage,DisputeStatus,DisputeId,DueDate,DisputeTime,CardScheme,CardType,ReasonCode,ReasonCategory,ReasonMsg,ChargebackTxnAmount,MerchantUserId,TransactionChannel,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,RefundPayType,WinRate,ARN,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier
PRE_ARB,NEED_RESPONSE,dsp_mldmpzlcsartdd3d,2026-11-28 00:00:00,2026-10-29 20:46:22,Discover,Debit,RG,Consumer Dispute,"Non-Receipt of Goods, Services, or Cash",436.1,7665434528917652530,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-19T16:57:53Z,436.1,USD,"OriginalRefund, RefundToCredit",0.0046,19914781494896568407107,601182XXXXXX3533,601182,Debit,Chase Bank,NG,RG,2026-10-29,CBK-2026-200141,2026-11-28 00:00:00,No,Checkout.com,Checkout Ltd,MID099643480,TXN-20260919-56755943,ADY789338815872,615119,Card - Ecom,436.1,USD,Settled,2026-09-22,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,118.148.18.229,Android App,Yes,436.1,2026-11-05,ORD-202609-100741,2026-09-19 16:23:29,Ergonomic Office Chair,Furniture,FUR-5366-NVY,2,218.05,436.1,USD,Completed,Delivered,UPS,FX7993262618,2026-09-19,2026-09-22,2026-09-21,Yes - OTP Confirmed,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652530,Priya Sharma,priya.sharma@outlook.com,62306738017,2026-03-04,Yes,Active,55,7915.91,143.93,ORD-202603-578007,2026-03-23,0,0,0,Low
PRE_ARB,NEED_RESPONSE,4001928385,2026-11-29 00:00:00,2026-10-30 20:46:25,VISA,Prepaid,10.4,Fraud,Other Fraud - Card Absent Environment,646.58,7665434528917652531,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-10-07T04:13:11Z,646.58,USD,<UNSET>,0.0008,60089459570695151832910,490215XXXXXX3446,490215,Prepaid,DBS Bank,ID,10.4,2026-10-30,CBK-2026-200142,2026-11-29 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID176258021,TXN-20261007-11398091,CKO784515278948,436103,Card - Recurring,646.58,USD,Settled,2026-10-08,N - No Match,M - Match,Y - Authenticated,Yes,116.180.208.116,Desktop Web,Yes,646.58,2026-11-01,ORD-202610-100742,2026-10-07 04:09:58,Adjustable Dumbbell Set,Sports,SPT-5892-WHT,2,323.29,646.58,USD,Completed,Delivered,GIG Logistics,BD9555774009,2026-10-09,2026-10-13,2026-10-14,Yes - Signature,Meera Lestari,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652531,Michael Williams,michael.williams@mail.com,1511687741,2024-12-19,No,Active,56,12666.55,226.19,ORD-202608-512664,2026-08-23,1,1,1.79,Medium
PRE_ARB,NEED_RESPONSE,tqd5o3sj4rdubc3r,2026-11-30 00:00:00,2026-10-31 20:46:28,Mastercard,Prepaid,4837,Fraud,No Cardholder Authorization,81.21,7665434528917652532,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-29T03:29:21Z,81.21,USD,OriginalRefund,0.0041,2159492482605628471778,560629XXXXXX9680,560629,Prepaid,Barclays,US,4837,2026-10-31,CBK-2026-200143,2026-11-30 00:00:00,Yes,Braintree,PayPal Braintree,MID375171909,TXN-20260729-99701003,BRT045862540286,182321,Card - Wallet Token,81.21,USD,Settled,2026-07-31,Y - Full Match,P - Not Processed,Y - Authenticated,Yes,225.55.190.12,iOS App,No,0,,ORD-202607-100743,2026-07-29 02:17:41,Winter Jacket,Apparel,APP-5143-BLU,1,81.21,81.21,USD,Completed,Delivered,Blue Dart,BD5766777438,2026-07-29,2026-08-05,2026-08-05,Yes - Photo,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652532,Sofia Chen,sofia.chen@yahoo.com,1705780378,2024-09-13,No,Active,46,8784.84,190.97,ORD-202607-527347,2026-07-20,0,0,0,Low
PRE_ARB,NEED_RESPONSE,dsp_egzfyxi6v7gkna93,2026-12-01 00:00:00,2026-11-01 11:12:04,Mastercard,Prepaid,4860,Consumer Dispute,Credit Not Processed,677.43,7665434528917652533,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-15T06:27:59Z,677.43,USD,<UNSET>,0.0086,30986533530366339810613,534362XXXXXX4371,534362,Prepaid,Access Bank,NG,4860,2026-11-01,CBK-2026-200144,2026-12-01 00:00:00,No,Checkout.com,Checkout Ltd,MID149662054,TXN-20260915-19373537,ADY886877804732,546325,Card - Recurring,677.43,USD,Captured,2026-09-17,Z - Zip Only,M - Match,A - Attempted,No,157.31.141.192,Android App,Yes,677.43,2026-11-04,ORD-202609-100744,2026-09-15 05:58:20,Stainless Steel Cookware Set,Home & Kitchen,HNK-7480-NVY,3,225.81,677.43,USD,Completed,Delivered,Aramex,DH7259659694,2026-09-17,2026-09-17,2026-09-17,Yes - Signature,Olivia Patel,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652533,Budi Eze,budi.eze@yahoo.com,1847664517,2024-04-13,No,Active,3,671.38,223.79,ORD-202604-547389,2026-04-12,0,0,0,Low
CB,NEED_RESPONSE,dsp_yq9m4z6pjni4107d,2026-12-02 00:00:00,2026-11-02 16:33:51,Mastercard,Debit,4837,Fraud,No Cardholder Authorization,112.5,7665434528917652534,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-07-28T21:08:22Z,112.5,IDR,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0019,01964562798726168000517,590753XXXXXX6836,590753,Debit,Barclays,SG,4837,2026-11-02,CBK-2026-200145,2026-12-02 00:00:00,Yes,Checkout.com,Checkout Ltd,MID808461845,TXN-20260728-02169718,WLP987436675953,289273,Card - Recurring,112.5,IDR,Settled,2026-07-31,A - Address Only,M - Match,Y - Authenticated,Yes,251.227.61.249,iOS App,Yes,112.5,2026-11-07,ORD-202607-100745,2026-07-28 20:45:10,Wireless Noise-Cancelling Headphones,Electronics,ELC-3596-NVY,1,112.5,112.5,IDR,Completed,Delivered,J&T Express,BD6123192545,2026-07-31,2026-08-01,2026-08-01,Yes - Signature,Tunde Nakamura,221B Baker Street,London,Greater London,NW1 6XE,GB,Yes,7665434528917652534,Amara Wijaya,amara.wijaya@gmail.com,44576539081,2025-10-20,Yes,Active,34,7068.2,207.89,ORD-202606-516427,2026-06-30,3,2,8.82,High
CLAIM,NEED_RESPONSE,nt7myzr9o5mkr0mh,2026-12-03 00:00:00,2026-11-03 07:58:19,Discover,Credit,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,142.15,7665434528917652535,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-03T04:55:00Z,142.15,USD,OriginalRefund,0.0091,5680213507646838138803,601130XXXXXX7863,601130,Credit,Guaranty Trust Bank,NG,RM,2026-11-03,CBK-2026-200146,2026-12-03 00:00:00,Yes,Braintree,PayPal Braintree,MID145013474,TXN-20260803-52001554,ADY248637862679,444499,Card - Wallet Token,142.15,USD,Captured,2026-08-06,A - Address Only,N - No Match,A - Attempted,No,186.165.89.215,Android App,Yes,142.15,2026-11-04,ORD-202608-100746,2026-08-03 04:23:49,4K Action Camera,Electronics,ELC-5859-NVY,1,142.15,142.15,USD,Completed,Delivered,GIG Logistics,DH2143955441,2026-08-05,2026-08-12,2026-08-14,Yes - OTP Confirmed,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652535,Nadia Putri,nadia.putri@gmail.com,1665444654,2023-07-18,Yes,Active,32,8478.1,264.94,ORD-202606-511620,2026-06-15,0,0,0,Low
CB,NEED_RESPONSE,382061573972,2026-12-04 00:00:00,2026-11-04 22:05:46,Mastercard,Prepaid,4837,Fraud,No Cardholder Authorization,359.22,7665434528917652536,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-01T22:05:29Z,293.2,NGN,OriginalRefund,0.0096,803933142323162675638,597979XXXXXX7153,597979,Prepaid,DBS Bank,US,4837,2026-11-04,CBK-2026-200147,2026-12-04 00:00:00,No,Cybersource,Chase Paymentech,MID124041741,TXN-20260801-92035021,BRT231315011401,572278,Card - Ecom,359.22,NGN,Captured,2026-08-03,A - Address Only,P - Not Processed,Y - Authenticated,Yes,51.181.164.226,iOS App,Yes,359.22,2026-11-08,ORD-202608-100747,2026-08-01 21:01:36,Ergonomic Office Chair,Furniture,FUR-8087-BLK,1,359.22,359.22,NGN,Completed,Delivered,Blue Dart,BD9841764730,2026-08-04,2026-08-10,2026-08-12,Yes - Photo,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652536,Olivia Ibrahim,olivia.ibrahim@mail.com,1378224204,2023-10-31,No,Suspended,17,3749.11,220.54,ORD-202604-679638,2026-04-29,3,1,17.65,High
CLAIM,NEED_RESPONSE,4001928386,2026-12-05 00:00:00,2026-11-05 09:41:37,Discover,Credit,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,209.6,7665434528917652537,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-07-25T02:41:01Z,209.6,IDR,<UNSET>,0.0025,005437286469773053924,601193XXXXXX2672,601193,Credit,Guaranty Trust Bank,NG,RM,2026-11-05,CBK-2026-200148,2026-12-05 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID636050868,TXN-20260725-38143801,ADY161181210873,168874,Card - Ecom,209.6,IDR,Settled,2026-07-26,N - No Match,N - No Match,Y - Authenticated,Yes,239.169.225.116,Android App,Yes,209.6,2026-11-07,ORD-202607-100748,2026-07-25 01:11:37,Winter Jacket,Apparel,APP-2010-BLK,2,104.8,209.6,IDR,Completed,Delivered,DHL Express,BD0650495052,2026-07-25,2026-07-25,2026-07-24,Yes - OTP Confirmed,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652537,Emily Nakamura,emily.nakamura@mail.com,62039753146,2024-10-01,No,Active,15,2964.71,197.65,ORD-202603-518671,2026-03-23,0,0,0,Low
PRE_ARB,NEED_RESPONSE,dsp_i6utas6rsumw5klj,2026-12-06 00:00:00,2026-11-06 20:46:22,VISA,Credit,13.1,Consumer Dispute,Services Not Provided or Merchandise Not Received,709.05,7665434528917652538,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-26T01:09:49Z,569.9,IDR,"OriginalRefund, RefundToCredit",0.0034,89231864262270797759365,475264XXXXXX2950,475264,Credit,DBS Bank,US,13.1,2026-11-06,CBK-2026-200149,2026-12-06 00:00:00,Yes,Checkout.com,Checkout Ltd,MID382091724,TXN-20260926-64714733,CKO085539999471,627639,Card - Ecom,709.05,IDR,Captured,2026-09-28,Y - Full Match,P - Not Processed,Y - Authenticated,Yes,170.223.215.53,Android App,Yes,709.05,2026-11-13,ORD-202609-100749,2026-09-26 00:28:02,Premium Software Licence (1 yr),Digital Goods,DIG-8536-RED,3,236.35,709.05,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-09-26,2026-09-26,2026-09-26,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),SG,N/A,7665434528917652538,Michael Okafor,michael.okafor@outlook.com,65315712973,2024-11-28,Yes,Suspended,20,1929.91,96.5,ORD-202606-576227,2026-06-29,1,1,5,Medium
CB,NEED_RESPONSE,dsp_j5lqm9bnqrdn7vsz,2026-12-07 00:00:00,2026-11-07 20:46:25,Mastercard,Prepaid,4837,Fraud,No Cardholder Authorization,33.62,7665434528917652539,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-20T18:31:47Z,33.62,USD,<UNSET>,0.0037,801421739712329936733,595857XXXXXX4117,595857,Prepaid,Barclays,US,4837,2026-11-07,CBK-2026-200150,2026-12-07 00:00:00,No,Checkout.com,Checkout Ltd,MID357322898,TXN-20260920-08786307,STR038369101614,822510,Card - Ecom,33.62,USD,Captured,2026-09-23,Z - Zip Only,M - Match,A - Attempted,No,197.224.115.33,Mobile Web,Yes,33.62,2026-11-13,ORD-202609-100750,2026-09-20 18:12:54,Vitamin C Serum,Beauty,BTY-3943-GRN,1,33.62,33.62,USD,Under Investigation,In Transit,UPS,UP7633279612,2026-09-20,2026-09-26,,No,N/A,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,No,7665434528917652539,Arjun Miller,arjun.miller@outlook.com,234298988620,2023-10-11,No,Active,22,2019,91.77,ORD-202608-611485,2026-08-22,0,0,0,Low
CB,NEED_RESPONSE,dsp_84c0pwkftx1dmpss,2026-12-08 00:00:00,2026-11-08 20:46:28,Amex,Credit,P03,Processing Error,Credit Processed as Charge,157.47,7665434528917652540,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-10-02T13:32:38Z,112.02,USD,"OriginalRefund, RefundToCredit",0.004,93267584858665070679071,341516XXXXX1878,341516,Credit,Klarna Bank AB,NG,P03,2026-11-08,CBK-2026-200151,2026-12-08 00:00:00,No,Checkout.com,Checkout Ltd,MID054758039,TXN-20261002-64269467,BRT434887580854,939647,BNPL,157.47,USD,Captured,2026-10-05,N - No Match,M - Match,A - Attempted,No,234.233.164.252,Android App,Yes,157.47,2026-11-11,ORD-202610-100751,2026-10-02 13:20:54,Adjustable Dumbbell Set,Sports,SPT-4770-RED,1,157.47,157.47,USD,Completed,Delivered,Blue Dart,FX3505992322,2026-10-02,2026-10-06,2026-10-06,Yes - Signature,Meera Ibrahim,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652540,Arjun Johnson,arjun.johnson@mail.com,1576528312,2024-08-11,Yes,Active,51,14974.27,293.61,ORD-202608-556044,2026-08-06,1,1,1.96,Medium
PRE_ARB,NEED_RESPONSE,h2gxaaudya11xwjw,2026-12-09 00:00:00,2026-11-09 11:12:04,Amex,Debit,A02,Authorization,No Valid Authorization,186.6,7665434528917652541,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-10T03:45:41Z,186.6,USD,"OriginalRefund, RefundToCredit",0.0074,23855743381487661431802,342031XXXXX3311,342031,Debit,Klarna Bank AB,NG,A02,2026-11-09,CBK-2026-200152,2026-12-09 00:00:00,No,Worldpay,Worldpay Inc.,MID984489383,TXN-20260810-02482419,BRT568037693193,711450,BNPL,186.6,USD,Captured,2026-08-12,Z - Zip Only,M - Match,A - Attempted,No,29.181.253.172,Desktop Web,Yes,186.6,2026-11-10,ORD-202608-100752,2026-08-10 02:43:24,Ergonomic Office Chair,Furniture,FUR-2313-WHT,1,186.6,186.6,USD,Completed,Delivered,DHL Express,UP2296110073,2026-08-10,2026-08-17,2026-08-17,Yes - OTP Confirmed,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652541,Chinedu Nakamura,chinedu.nakamura@mail.com,1307932994,2023-09-01,Yes,Active,9,972.57,108.06,ORD-202601-781024,2026-01-23,3,3,33.33,High
PRE_ARB,NEED_RESPONSE,qvpxrh5iy2te1ezf,2026-12-10 00:00:00,2026-11-10 16:33:51,Amex,Credit,P03,Processing Error,Credit Processed as Charge,273.87,7665434528917652542,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-29T01:16:47Z,273.87,NGN,"RefundToCredit, OriginalRefund",0.0018,571045631441818924976,344582XXXXX7445,344582,Credit,Citibank,ID,P03,2026-11-10,CBK-2026-200153,2026-12-10 00:00:00,No,Nuvei,Nuvei Corporation,MID806279570,TXN-20260929-82236165,CKO889736492331,362194,Card - Recurring,273.87,NGN,Captured,2026-09-30,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,243.38.139.125,Android App,Yes,273.87,2026-11-17,ORD-202609-100753,2026-09-29 00:21:27,Electric Toothbrush,Beauty,BTY-7633-NVY,3,91.29,273.87,NGN,Completed,Delivered,J&T Express,FX2380727916,2026-09-29,2026-10-02,2026-10-01,Yes - OTP Confirmed,N/A,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652542,Arjun Garcia,arjun.garcia@yahoo.com,234994039992,2023-04-03,Yes,Under Review,55,13207.26,240.13,ORD-202607-558653,2026-07-03,0,0,0,Low
CB,NEED_RESPONSE,881620934828,2026-12-11 00:00:00,2026-11-11 07:58:19,VISA,Credit,13.1,Consumer Dispute,Services Not Provided or Merchandise Not Received,62.67,7665434528917652543,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-30T19:35:06Z,50.66,NGN,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0061,5610717845761672662839,493727XXXXXX5980,493727,Credit,Barclays,ID,13.1,2026-11-11,CBK-2026-200154,2026-12-11 00:00:00,Yes,Adyen,Adyen N.V.,MID754155418,TXN-20260930-64172730,CKO874520009169,856057,Card - Recurring,62.67,NGN,Settled,2026-10-02,N - No Match,P - Not Processed,Y - Authenticated,Yes,213.114.102.50,Desktop Web,No,0,,ORD-202609-100754,2026-09-30 18:30:19,Running Shoes,Footwear,FTW-3077-GRY,1,62.67,62.67,NGN,Completed,Delivered,UPS,BD0498751808,2026-10-01,2026-10-03,2026-10-05,Yes - Photo,N/A,221B Baker Street,London,Greater London,NW1 6XE,GB,No,7665434528917652543,Chinedu Adeyemi,chinedu.adeyemi@outlook.com,44230543899,2023-09-07,Yes,Suspended,42,9259.54,220.47,ORD-202607-503084,2026-07-16,3,0,7.14,High
CB,NEED_RESPONSE,881620934829,2026-12-12 00:00:00,2026-11-12 22:05:46,Mastercard,Debit,4855,Consumer Dispute,Goods or Services Not Provided,268.27,7665434528917652544,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-05T03:32:33Z,190.05,IDR,<UNSET>,0.0016,1217475836097275111517,519876XXXXXX3325,519876,Debit,DBS Bank,US,4855,2026-11-12,CBK-2026-200155,2026-12-12 00:00:00,No,Adyen,Adyen N.V.,MID636544988,TXN-20260805-60368042,WLP648290592559,322053,Card - Ecom,268.27,IDR,Settled,2026-08-06,Z - Zip Only,N - No Match,Y - Authenticated,Yes,115.199.213.169,Android App,Yes,268.27,2026-11-20,ORD-202608-100755,2026-08-05 03:27:47,4K Action Camera,Electronics,ELC-6923-NVY,1,268.27,268.27,IDR,Completed,Delivered,DPD,UP6659165168,2026-08-05,2026-08-10,2026-08-10,Yes - OTP Confirmed,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652544,Amara Ibrahim,amara.ibrahim@yahoo.com,1417196249,2024-11-02,No,Active,58,2822.24,48.66,ORD-202601-688886,2026-01-09,0,0,0,Low
PRE_ARB,NEED_RESPONSE,zpalw087b1c3ksyz,2026-12-13 00:00:00,2026-11-13 09:41:37,VISA,Credit,13.1,Consumer Dispute,Services Not Provided or Merchandise Not Received,401.64,7665434528917652545,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-06T16:06:27Z,401.64,IDR,RefundToCredit,0.0088,9991244730074022539448,498625XXXXXX1820,498625,Credit,DBS Bank,ID,13.1,2026-11-13,CBK-2026-200156,2026-12-13 00:00:00,Yes,Nuvei,Nuvei Corporation,MID363429553,TXN-20260806-74799063,BRT038142116321,247222,Card - Recurring,401.64,IDR,Captured,2026-08-09,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,191.170.77.179,iOS App,Yes,401.64,2026-11-14,ORD-202608-100756,2026-08-06 16:00:06,Robot Vacuum Cleaner,Home & Kitchen,HNK-8954-GRN,3,133.88,401.64,IDR,Completed,Delivered,UPS,BD5139604501,2026-08-08,2026-08-15,2026-08-16,Yes - Signature,Adaeze Nwosu,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652545,Amara Nakamura,amara.nakamura@yahoo.com,234877353715,2026-04-03,Yes,Suspended,1,300.73,300.73,ORD-202604-561613,2026-04-04,0,0,0,Low
PRE_ARB,NEED_RESPONSE,610934827539,2026-12-14 00:00:00,2026-11-14 20:46:22,Discover,Debit,NA,Authorization,No Authorization,246.32,7665434528917652546,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-30T14:58:03Z,246.32,NGN,OriginalRefund,0.0028,6979112532556362253738,601108XXXXXX3519,601108,Debit,Chase Bank,SG,NA,2026-11-14,CBK-2026-200157,2026-12-14 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID974433992,TXN-20260830-22893133,ADY647573176437,872070,Card - Ecom,246.32,NGN,Settled,2026-08-31,Z - Zip Only,M - Match,A - Attempted,No,247.108.65.210,Mobile Web,Yes,246.32,2026-11-21,ORD-202608-100757,2026-08-30 14:38:17,4K Action Camera,Electronics,ELC-3178-BLU,2,123.16,246.32,NGN,Completed,Delivered,FedEx,FX2378647314,2026-09-01,2026-09-08,2026-09-08,Yes - Signature,Emily Nakamura,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652546,Rahul Patel,rahul.patel@outlook.com,1793220491,2024-04-10,No,Active,32,4679.28,146.23,ORD-202602-695607,2026-02-14,1,1,3.12,Medium
CB,NEED_RESPONSE,dsp_63o04rbujd93bmb5,2026-12-15 00:00:00,2026-11-15 20:46:25,Discover,Credit,UA02,Fraud,Fraud – Card Not Present Transaction,353.76,7665434528917652547,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-05T04:51:32Z,114.16,NGN,"RefundToCredit, OriginalRefund",0.006,96342181556104528673154,601194XXXXXX4637,601194,Credit,Klarna Bank AB,US,UA02,2026-11-15,CBK-2026-200158,2026-12-15 00:00:00,Yes,Checkout.com,Checkout Ltd,MID355173617,TXN-20260805-60227575,ADY879481925219,359993,BNPL,353.76,NGN,Settled,2026-08-08,Y - Full Match,N - No Match,Y - Authenticated,Yes,174.15.147.36,iOS App,Yes,353.76,2026-11-23,ORD-202608-100758,2026-08-05 04:37:29,Mechanical Keyboard,Electronics,ELC-1238-WHT,3,117.92,353.76,NGN,Completed,Delivered,FedEx,BD7776661053,2026-08-05,2026-08-09,2026-08-09,Yes - Signature,James Nwosu,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,No,7665434528917652547,Tunde Patel,tunde.patel@mail.com,1047811323,2025-09-05,Yes,Active,21,2643.07,125.86,ORD-202604-769769,2026-04-24,0,0,0,Low
CB,NEED_RESPONSE,of0etsspqyu3dk0b,2026-12-16 00:00:00,2026-11-16 20:46:28,VISA,Prepaid,13.3,Consumer Dispute,Not as Described or Defective Merchandise/Services,37.81,7665434528917652548,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-10-29T10:01:30Z,37.81,IDR,RefundToCredit,0.0049,415618251449461284979,460334XXXXXX6410,460334,Prepaid,Guaranty Trust Bank,NG,13.3,2026-11-16,CBK-2026-200159,2026-12-16 00:00:00,No,Worldpay,Worldpay Inc.,MID579080655,TXN-20261029-51797774,CKO018780885967,968111,Card - Ecom,37.81,IDR,Captured,2026-11-01,N - No Match,M - Match,Y - Authenticated,Yes,107.85.188.157,Android App,Yes,37.81,2026-11-24,ORD-202610-100759,2026-10-29 09:01:19,Vitamin C Serum,Beauty,BTY-3206-BLU,1,37.81,37.81,IDR,Completed,Delivered,Aramex,UP0515884162,2026-10-30,2026-11-07,2026-11-06,Yes - OTP Confirmed,N/A,"34 Orchard Road, #08-12",Singapore,Central,238867,SG,Yes,7665434528917652548,Michael Chen,michael.chen@gmail.com,65212253462,2026-04-14,Yes,Under Review,33,6028.35,182.68,ORD-202609-781604,2026-09-01,1,0,3.03,Medium
CB,NEED_RESPONSE,PP-D-123456787,2026-12-17 00:00:00,2026-11-17 11:12:04,Discover,Prepaid,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,162.94,7665434528917652549,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-24T02:37:55Z,162.94,NGN,OriginalRefund,0.0017,64929417565352131908967,601154XXXXXX9705,601154,Prepaid,Access Bank,ID,RM,2026-11-17,CBK-2026-200160,2026-12-17 00:00:00,No,Braintree,PayPal Braintree,MID606055515,TXN-20260824-81011143,STR982848532018,319942,Card - Ecom,162.94,NGN,Settled,2026-08-27,Y - Full Match,P - Not Processed,N - Not Authenticated,No,62.197.138.229,Mobile Web,Yes,162.94,2026-11-19,ORD-202608-100760,2026-08-24 01:08:51,Standing Desk Converter,Furniture,FUR-5552-BLK,1,162.94,162.94,NGN,Completed,Delivered,DPD,UP7423641645,2026-08-26,2026-08-28,2026-08-28,Yes - OTP Confirmed,N/A,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652549,Tunde Kumar,tunde.kumar@outlook.com,234047050018,2024-04-28,Yes,Suspended,59,2887.27,48.94,ORD-202608-597582,2026-08-11,3,0,5.08,High
CB,NEED_RESPONSE,382061573973,2026-12-18 00:00:00,2026-11-18 16:33:51,Discover,Credit,RG,Consumer Dispute,"Non-Receipt of Goods, Services, or Cash",113.46,7665434528917652550,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-17T22:06:30Z,113.46,USD,"OriginalRefund, RefundToCredit",0.0048,35238387468921512213418,601166XXXXXX2556,601166,Credit,Bank Mandiri,US,RG,2026-11-18,CBK-2026-200161,2026-12-18 00:00:00,No,Cybersource,Chase Paymentech,MID169412307,TXN-20260917-53653409,WLP831726192409,547640,Card - Recurring,113.46,USD,Captured,2026-09-20,A - Address Only,M - Match,A - Attempted,No,242.51.211.169,Desktop Web,No,0,,ORD-202609-100761,2026-09-17 21:56:53,Stainless Steel Cookware Set,Home & Kitchen,HNK-3320-GRY,1,113.46,113.46,USD,Completed,Delivered,UPS,BD5906121945,2026-09-17,2026-09-24,2026-09-24,Yes - Photo,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652550,Wei Putri,wei.putri@mail.com,62666029493,2025-01-20,Yes,Under Review,49,7329.2,149.58,ORD-202603-750600,2026-03-16,1,0,2.04,Medium
